,ECLO,방문자수,통행속도,주중,주말,store,새벽,밤,선릉,신논현,신사,압구정,청담
72,5,3205.0,14.29,1,0,562.3333333333334,0,0,0,0,0,1,0
73,3,3670.0,18.58,0,1,562.3333333333334,0,0,0,0,0,1,0
74,3,110.0,21.55,1,0,562.3333333333334,1,0,0,0,0,1,0
75,5,925.0,19.72,1,0,562.3333333333334,0,1,0,0,0,1,0
76,6,2420.0,16.64,1,0,562.3333333333334,0,0,0,0,0,1,0
77,17,105.0,20.29,1,0,562.3333333333334,1,0,0,0,0,1,0
78,6,1640.0,17.75,0,1,562.3333333333334,1,0,0,0,0,1,0
79,3,615.0,20.58,0,1,562.3333333333334,1,0,0,0,0,1,0
80,3,2335.0,18.16,1,0,562.3333333333334,0,1,0,0,0,1,0
81,3,380.0,19.09,1,0,562.3333333333334,0,1,0,0,0,1,0
82,8,155.0,21.79,1,0,562.3333333333334,1,0,0,0,0,1,0
83,3,2100.0,16.56,0,1,562.3333333333334,0,0,0,0,0,1,0
84,15,0.0,31.57,1,0,562.3333333333334,1,0,0,0,0,1,0
85,3,105.0,23.69,1,0,562.3333333333334,1,0,0,0,0,1,0
86,9,2000.0,18.1,1,0,562.3333333333334,0,1,0,0,0,1,0
87,4,3045.0,18.78,0,1,562.3333333333334,0,1,0,0,0,1,0
88,5,1325.0,19.38,1,0,562.3333333333334,0,1,0,0,0,1,0
89,3,55.0,24.17,1,0,562.3333333333334,1,0,0,0,0,1,0
90,8,875.0,21.82,1,0,562.3333333333334,0,1,0,0,0,1,0
91,3,2300.0,13.8,1,0,562.3333333333334,0,0,0,0,0,1,0
92,3,3390.0,19.52,0,1,562.3333333333334,0,1,0,0,0,1,0
93,6,695.0,21.52,1,0,562.3333333333334,1,0,0,0,0,1,0
94,9,775.0,21.41,0,1,562.3333333333334,1,0,0,0,0,1,0
95,6,1025.0,17.58,1,0,562.3333333333334,0,0,0,0,0,1,0
96,3,1175.0,15.83,1,0,562.3333333333334,0,0,0,0,0,1,0
97,12,2310.0,18.15,0,1,562.3333333333334,1,0,0,0,0,1,0
98,11,2020.0,16.95,0,1,562.3333333333334,1,0,0,0,0,1,0
99,3,1975.0,18.83,0,1,562.3333333333334,1,0,0,0,0,1,0
100,14,20.0,25.0,1,0,562.3333333333334,1,0,0,0,0,1,0
101,3,325.0,21.02,1,0,562.3333333333334,1,0,0,0,0,1,0
102,3,1890.0,16.0,1,0,562.3333333333334,0,1,0,0,0,1,0
103,5,865.0,15.09,1,0,562.3333333333334,0,0,0,0,0,1,0
104,9,1575.0,16.89,0,1,562.3333333333334,0,0,0,0,0,1,0
105,9,810.0,25.18,0,1,562.3333333333334,1,0,0,0,0,1,0
106,3,560.0,21.07,1,0,562.3333333333334,1,0,0,0,0,1,0
107,12,435.0,22.64,1,0,562.3333333333334,1,0,0,0,0,1,0
108,3,415.0,20.42,1,0,562.3333333333334,1,0,0,0,0,1,0
109,5,2505.0,16.33,0,1,562.3333333333334,1,0,0,0,0,1,0
110,3,100.0,18.67,1,0,562.3333333333334,1,0,0,0,0,1,0
111,5,35.0,18.21,1,0,562.3333333333334,1,0,0,0,0,1,0
112,3,135.0,23.98,1,0,562.3333333333334,1,0,0,0,0,1,0
113,3,3070.0,14.8,0,1,562.3333333333334,1,0,0,0,0,1,0
114,3,3070.0,14.8,0,1,562.3333333333334,1,0,0,0,0,1,0
115,3,3070.0,14.8,0,1,562.3333333333334,1,0,0,0,0,1,0
116,3,3070.0,14.8,0,1,562.3333333333334,1,0,0,0,0,1,0
117,12,680.0,22.93,1,0,562.3333333333334,1,0,0,0,0,1,0
118,6,1755.0,17.84,1,0,562.3333333333334,0,1,0,0,0,1,0
119,3,1925.0,20.3,0,1,562.3333333333334,1,0,0,0,0,1,0
120,6,3640.0,14.25,0,1,562.3333333333334,0,1,0,0,0,1,0
121,3,2100.0,16.7,0,1,562.3333333333334,1,0,0,0,0,1,0
122,3,750.0,20.85,0,1,562.3333333333334,1,0,0,0,0,1,0
123,3,625.0,21.04,1,0,562.3333333333334,1,0,0,0,0,1,0
124,10,2205.0,11.63,1,0,562.3333333333334,0,0,0,0,0,1,0
125,11,1420.0,17.22,0,1,562.3333333333334,1,0,0,0,0,1,0
126,3,830.0,17.57,1,0,433.333333333,0,0,0,0,1,0,0
127,3,85.0,31.09,0,1,433.333333333,1,0,0,0,1,0,0
128,6,1370.0,21.04,1,0,433.333333333,0,1,0,0,1,0,0
129,3,500.0,22.16,0,1,433.333333333,0,1,0,0,1,0,0
130,9,2480.0,13.69,1,0,433.333333333,0,1,0,0,1,0,0
131,3,1180.0,19.23,1,0,433.333333333,0,1,0,0,1,0,0
132,6,815.0,20.83,0,1,433.333333333,0,1,0,0,1,0,0
133,3,1610.0,16.97,1,0,433.333333333,0,1,0,0,1,0,0
134,3,300.0,22.35,1,0,433.333333333,0,1,0,0,1,0,0
135,3,2615.0,16.24,1,0,433.333333333,0,0,0,0,1,0,0
136,3,4950.0,11.51,1,0,433.333333333,0,0,0,0,1,0,0
137,5,1840.0,16.52,1,0,433.333333333,0,0,0,0,1,0,0
138,6,865.0,23.26,0,1,433.333333333,0,0,0,0,1,0,0
139,3,1415.0,17.54,0,1,433.333333333,0,0,0,0,1,0,0
140,5,610.0,24.32,1,0,433.333333333,1,0,0,0,1,0,0
141,3,495.0,22.36,0,1,433.333333333,0,1,0,0,1,0,0
142,6,320.0,23.78,0,1,433.333333333,1,0,0,0,1,0,0
143,3,15.0,24.07,1,0,433.333333333,1,0,0,0,1,0,0
144,6,20.0,29.58,1,0,433.333333333,1,0,0,0,1,0,0
145,3,70.0,,0,1,433.333333333,1,0,0,0,1,0,0
146,3,15.0,23.81,1,0,433.333333333,1,0,0,0,1,0,0
147,3,2365.0,22.11,0,1,433.333333333,0,1,0,0,1,0,0
148,3,40.0,27.2,0,1,433.333333333,1,0,0,0,1,0,0
149,6,10.0,22.76,1,0,433.333333333,1,0,0,0,1,0,0
150,3,150.0,26.65,0,1,433.333333333,0,1,0,0,1,0,0
151,3,15.0,24.2,1,0,433.333333333,1,0,0,0,1,0,0
152,3,300.0,28.51,0,1,433.333333333,0,1,0,0,1,0,0
153,3,160.0,25.07,0,1,433.333333333,1,0,0,0,1,0,0
154,6,690.0,21.46,0,1,433.333333333,0,0,0,0,1,0,0
155,10,4570.0,16.88,1,0,433.333333333,0,0,0,0,1,0,0
156,6,2845.0,19.47,1,0,433.333333333,0,0,0,0,1,0,0
157,3,185.0,25.13,0,1,433.333333333,1,0,0,0,1,0,0
158,15,35.0,23.4,0,1,433.333333333,1,0,0,0,1,0,0
159,3,190.0,24.24,1,0,433.333333333,1,0,0,0,1,0,0
160,6,1500.0,17.73,1,0,433.333333333,0,1,0,0,1,0,0
161,3,70.0,23.61,0,1,433.333333333,1,0,0,0,1,0,0
162,9,225.0,23.5,1,0,433.333333333,1,0,0,0,1,0,0
163,3,105.0,24.49,1,0,433.333333333,1,0,0,0,1,0,0
164,3,25.0,25.22,0,1,433.333333333,1,0,0,0,1,0,0
165,6,115.0,21.02,0,1,433.333333333,0,0,0,0,1,0,0
166,9,100.0,24.11,0,1,433.333333333,1,0,0,0,1,0,0
167,8,865.0,22.59,1,0,433.333333333,0,1,0,0,1,0,0
168,3,50.0,23.34,1,0,433.333333333,1,0,0,0,1,0,0
169,3,25.0,22.62,1,0,433.333333333,1,0,0,0,1,0,0
170,15,5.0,27.07,0,1,433.333333333,1,0,0,0,1,0,0
171,3,25.0,21.76,1,0,433.333333333,1,0,0,0,1,0,0
172,3,5.0,27.88,1,0,433.333333333,1,0,0,0,1,0,0
173,10,125.0,20.82,0,1,433.333333333,1,0,0,0,1,0,0
174,11,165.0,21.49,0,1,433.333333333,0,0,0,0,1,0,0
175,3,1705.0,17.93,1,0,433.333333333,0,1,0,0,1,0,0
176,3,290.0,21.16,1,0,433.333333333,1,0,0,0,1,0,0
177,6,155.0,25.43,0,1,433.333333333,0,0,0,0,1,0,0
178,3,1710.0,18.37,1,0,433.333333333,0,1,0,0,1,0,0
179,3,205.0,23.8,1,0,433.333333333,0,1,0,0,1,0,0
180,9,1995.0,17.26,0,1,433.333333333,0,0,0,0,1,0,0
181,5,40.0,30.24,1,0,433.333333333,1,0,0,0,1,0,0
182,3,5.0,29.05,0,1,433.333333333,1,0,0,0,1,0,0
183,3,45.0,25.79,1,0,433.333333333,1,0,0,0,1,0,0
184,1,1035.0,19.2,1,0,433.333333333,0,1,0,0,1,0,0
185,3,675.0,20.39,1,0,433.333333333,0,1,0,0,1,0,0
186,9,145.0,22.84,1,0,433.333333333,1,0,0,0,1,0,0
187,3,75.0,27.42,0,1,433.333333333,1,0,0,0,1,0,0
188,3,5.0,24.52,1,0,433.333333333,1,0,0,0,1,0,0
189,11,2770.0,18.01,1,0,433.333333333,0,0,0,1,0,0,0
190,3,2367.0,17.41,1,0,433.333333333,0,1,0,1,0,0,0
191,3,1267.0,16.54,0,1,433.333333333,1,0,0,1,0,0,0
192,6,1548.0,16.72,0,1,433.333333333,1,0,0,1,0,0,0
193,6,960.0,23.88,1,0,433.333333333,1,0,0,1,0,0,0
194,4,1084.0,19.47,0,1,433.333333333,1,0,0,1,0,0,0
195,3,804.0,19.27,0,1,433.333333333,1,0,0,1,0,0,0
